name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1989247250,16867904.178326752,59
DashMap,33554432,2,1427094041,23512418.268166535,85
DashMap,33554432,3,1114435625,30108901.086143937,99
DashMap,33554432,4,968169875,34657587.33713957,115
DashMap,33554432,5,1058737666,31692866.965592586,157
DashMap,33554432,6,1109722417,30236779.473834854,198
DashMap,33554432,7,1142915834,29358620.295394383,238
DashMap,33554432,8,1167534958,28739552.31068978,278
SccHashIndex,33554432,1,3495590167,9599074.947849857,104
SccHashIndex,33554432,2,1910207084,17565860.937829085,113
SccHashIndex,33554432,3,1358994333,24690634.23239455,121
SccHashIndex,33554432,4,1068132250,31414117.493409637,127
SccHashIndex,33554432,5,971407292,34542083.71332671,144
SccHashIndex,33554432,6,925034333,36273715.25895569,165
SccHashIndex,33554432,7,877592042,38234658.46788068,183
SccHashIndex,33554432,8,822923333,40774675.66471347,196
SccHashMap,33554432,1,2956867542,11347965.887340382,88
SccHashMap,33554432,2,1597354000,21006259.100988258,95
SccHashMap,33554432,3,1158529041,28962961.490406007,103
SccHashMap,33554432,4,880744250,38097815.56904856,104
SccHashMap,33554432,5,853381458,39319382.54041606,127
SccHashMap,33554432,6,816105167,41115328.46109281,145
SccHashMap,33554432,7,756549375,44351939.35623832,157
SccHashMap,33554432,8,717365209,46774546.045764536,171
