name,total_ops,threads,spent,throughput,latency
FxDashMap,8388608,1,429330208,19538825.4627543,51
FxDashMap,8388608,2,475606083,17637722.266054362,113
FxDashMap,8388608,3,345421875,24285109.33188583,123
FxDashMap,8388608,4,298368333,28114940.736690044,142
FxDashMap,8388608,5,251612750,33339359.789994743,149
FxDashMap,8388608,6,271417208,30906691.811522868,194
FxDashMap,8388608,7,282978500,29643976.485846095,236
FxDashMap,8388608,8,290512291,28875225.798966285,277
FxDashMap,8388608,9,293391416,28591865.82336819,314
FxDashMap,8388608,10,295809250,28358166.62257857,352
FxDashMap,8388608,11,301089458,27860849.249660548,394
FxFlurry,8388608,1,1732646416,4841500.217549291,206
FxFlurry,8388608,2,1054782333,7952928.047383213,251
FxFlurry,8388608,3,814660875,10297055.201036874,291
FxFlurry,8388608,4,654252458,12821668.298569847,311
FxFlurry,8388608,5,669564166,12528460.192417167,399
FxFlurry,8388608,6,675437708,12419513.895424979,483
FxFlurry,8388608,7,701825416,11952556.588517735,585
FxFlurry,8388608,8,689171291,12172021.831942504,657
FxFlurry,8388608,9,739886083,11337702.104068363,793
FxFlurry,8388608,10,782119166,10725485.788696297,932
FxFlurry,8388608,11,831329458,10090593.95077998,1090
FxScc,8388608,1,1175350541,7137111.616814238,140
FxScc,8388608,2,628516041,13346688.791989,149
FxScc,8388608,3,473199875,17727409.585642852,169
FxScc,8388608,4,338436833,24786332.875299066,161
FxScc,8388608,5,316811958,26478192.467722446,188
FxScc,8388608,6,301054916,27864045.907159343,215
FxScc,8388608,7,281119625,29839994.27290073,234
FxScc,8388608,8,250486875,33489211.76009721,238
FxScc,8388608,9,251209791,33392838.577696994,269
FxScc,8388608,10,248088166,33813011.45980498,295
FxScc,8388608,11,260897166,32152928.79034186,342
