name,total_ops,threads,spent,throughput,latency
DashMap,8388608,1,1257222583,6672333.215637124,149
DashMap,8388608,2,722021208,11618229.363700353,172
DashMap,8388608,3,706118208,11879891.928802947,252
DashMap,8388608,4,544415666,15408461.813073542,259
DashMap,8388608,5,461024250,18195589.49447887,274
DashMap,8388608,6,466356083,17987559.94783497,333
DashMap,8388608,7,446041541,18806786.42889004,372
DashMap,8388608,8,457037208,18354321.821430348,435
DashMap,8388608,9,452780958,18526856.864859585,485
DashMap,8388608,10,461759875,18166602.284358293,550
DashMap,8388608,11,450524708,18619640.27952935,590
Flurry,8388608,1,1878409041,4465804.740555442,223
Flurry,8388608,2,1138488041,7368200.3656637445,271
Flurry,8388608,3,877637791,9558166.348376857,313
Flurry,8388608,4,768081916,10921501.763361396,366
Flurry,8388608,5,715046500,11731555.919789832,426
Flurry,8388608,6,729078333,11505770.53289005,521
Flurry,8388608,7,776404125,10804435.125843775,647
Flurry,8388608,8,760149250,11035474.941269757,724
Flurry,8388608,9,728611708,11513139.176731428,781
Flurry,8388608,10,754744625,11114498.49675975,899
Flurry,8388608,11,736419000,11391080.349637909,965
SccHashIndex,8388608,1,1209029708,6938297.6650562165,144
SccHashIndex,8388608,2,657784500,12752821.022690563,156
SccHashIndex,8388608,3,455066541,18433805.266294014,162
SccHashIndex,8388608,4,341770500,24544564.26169023,162
SccHashIndex,8388608,5,315502833,26588059.19501839,188
SccHashIndex,8388608,6,300869291,27881236.972104277,215
SccHashIndex,8388608,7,295524166,28385522.96261281,246
SccHashIndex,8388608,8,251302166,33380563.858729336,239
SccHashIndex,8388608,9,244773625,34270881.92202081,262
SccHashIndex,8388608,10,238417250,35184568.230696395,284
SccHashIndex,8388608,11,251755416,33320466.877264716,330
SccHashMap,8388608,1,1290778416,6498875.32671603,153
SccHashMap,8388608,2,676542791,12399227.530901292,161
SccHashMap,8388608,3,482706166,17378290.54373422,172
SccHashMap,8388608,4,364151000,23036070.201647118,173
SccHashMap,8388608,5,324854791,25822639.014118776,193
SccHashMap,8388608,6,303394541,27649172.501096517,217
SccHashMap,8388608,7,292575083,28671641.870473295,244
SccHashMap,8388608,8,263388291,31848826.567616858,251
SccHashMap,8388608,9,247054875,33954432.18839539,265
SccHashMap,8388608,10,246592083,34018156.211446576,293
SccHashMap,8388608,11,253330000,33113362.017921288,332
