name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2014711500,16654708.13066784,60
DashMap,33554432,2,1413780000,23733842.606346108,84
DashMap,33554432,3,1130572958,29679139.02642628,101
DashMap,33554432,4,1001329917,33509866.658662908,119
DashMap,33554432,5,1053507959,31850193.169731904,156
DashMap,33554432,6,1090207291,30778029.35001652,194
DashMap,33554432,7,1145637584,29288871.51453649,238
DashMap,33554432,8,1149525042,29189822.556297123,274
SccHashIndex,33554432,1,3231413875,10383823.70627161,96
SccHashIndex,33554432,2,1759492500,19070517.208797425,104
SccHashIndex,33554432,3,1255563458,26724600.64539406,112
SccHashIndex,33554432,4,982039125,34168121.35667202,117
SccHashIndex,33554432,5,921292750,36421031.20859249,137
SccHashIndex,33554432,6,890190500,37693540.87692466,159
SccHashIndex,33554432,7,826831458,40581948.927250415,172
SccHashIndex,33554432,8,792869584,42320241.15582671,189
SccHashMap,33554432,1,3115551042,10769983.077683758,92
SccHashMap,33554432,2,1713577000,19581513.990909077,102
SccHashMap,33554432,3,1246668666,26915276.620901294,111
SccHashMap,33554432,4,976787042,34351839.81484472,116
SccHashMap,33554432,5,906269750,37024773.25321738,135
SccHashMap,33554432,6,849342416,39506365.59283765,151
SccHashMap,33554432,7,812761542,41284473.07857487,169
SccHashMap,33554432,8,801550708,41861895.52963379,191
