name,total_ops,threads,spent,throughput,latency
FxDashMap,16777216,1,941712375,17815647.797980778,56
FxDashMap,16777216,2,669345000,25065124.86087145,79
FxDashMap,16777216,3,738181500,22727765.46147526,131
FxDashMap,16777216,4,609579167,27522620.371965565,145
FxDashMap,16777216,5,537823166,31194669.662109718,160
FxDashMap,16777216,6,572863541,29286583.626378834,204
FxDashMap,16777216,7,587046917,28579003.677826997,244
FxDashMap,16777216,8,607367208,27622854.47587088,289
FxDashMap,16777216,9,595023000,28195911.75467167,319
FxDashMap,16777216,10,598616500,28026651.45381058,356
FxDashMap,16777216,11,594915042,28201028.40835549,390
FxSccHashIndex,16777216,1,1976584416,8487983.545854283,117
FxSccHashIndex,16777216,2,1044980959,16055044.692924399,124
FxSccHashIndex,16777216,3,737925125,22735661.69738427,131
FxSccHashIndex,16777216,4,562972500,29801128.829560947,134
FxSccHashIndex,16777216,5,518176833,32377394.99635253,154
FxSccHashIndex,16777216,6,480086250,34946253.928330585,171
FxSccHashIndex,16777216,7,480379583,34924914.7834828,200
FxSccHashIndex,16777216,8,426847042,39304983.633926645,203
FxSccHashIndex,16777216,9,432394875,38800681.899849065,231
FxSccHashIndex,16777216,10,416051583,40324845.96988061,247
FxSccHashIndex,16777216,11,430461417,38974958.81727304,282
FxSccHashMap,16777216,1,1971636667,8509283.825365175,117
FxSccHashMap,16777216,2,1033535916,16232833.073601674,123
FxSccHashMap,16777216,3,727733417,23054068.437810928,130
FxSccHashMap,16777216,4,552843083,30347157.29634986,131
FxSccHashMap,16777216,5,525629334,31918340.386992175,156
FxSccHashMap,16777216,6,508945916,32964634.301142517,182
FxSccHashMap,16777216,7,465402792,36048808.23319169,194
FxSccHashMap,16777216,8,438034542,38301125.57653044,208
FxSccHashMap,16777216,9,413620291,40561878.52737621,221
FxSccHashMap,16777216,10,415216542,40405943.171695694,247
FxSccHashMap,16777216,11,423929250,39575509.35680895,277
