name,total_ops,threads,spent,throughput,latency
DashMap,16777216,1,2454284708,6835888.250989339,146
DashMap,16777216,2,1367801375,12265827.704698717,163
DashMap,16777216,3,1211740750,13845549.058245338,216
DashMap,16777216,4,1012170625,16575482.024090553,241
DashMap,16777216,5,922973583,18177352.319735896,275
DashMap,16777216,6,905112375,18536058.575047106,323
DashMap,16777216,7,901061416,18619392.31010198,375
DashMap,16777216,8,896353250,18717192.133793235,427
DashMap,16777216,9,909680625,18442973.873385508,487
DashMap,16777216,10,909117875,18454390.196650792,541
DashMap,16777216,11,897956750,18683768.455440644,588
Flurry,16777216,1,3332961916,5033725.683891073,198
Flurry,16777216,2,1932650916,8680934.49319018,230
Flurry,16777216,3,1390297541,12067356.450859176,248
Flurry,16777216,4,1136894958,14757050.22873362,271
Flurry,16777216,5,1213061541,13830473.914925639,361
Flurry,16777216,6,1290307666,13002492.693862675,461
Flurry,16777216,7,1307149750,12834960.952255087,545
Flurry,16777216,8,1307460958,12831905.914547391,623
Flurry,16777216,9,1282345500,13083226.01046286,687
Flurry,16777216,10,1366767916,12275102.307859559,814
Flurry,16777216,11,1344803500,12475589.184590908,881
SccHashIndex,16777216,1,2379219458,7051563.042487524,141
SccHashIndex,16777216,2,1248058958,13442646.993925104,148
SccHashIndex,16777216,3,886759750,18919685.96905757,158
SccHashIndex,16777216,4,671632958,24979739.007983584,160
SccHashIndex,16777216,5,612036041,27412137.318887077,182
SccHashIndex,16777216,6,578658166,28993310.70703321,206
SccHashIndex,16777216,7,534155416,31408866.216569446,222
SccHashIndex,16777216,8,497891791,33696510.573720224,237
SccHashIndex,16777216,9,484602583,34620566.60147847,259
SccHashIndex,16777216,10,485749416,34538828.96690915,289
SccHashIndex,16777216,11,487610583,34406997.273888126,319
SccHashMap,16777216,1,2429717750,6905006.147318963,144
SccHashMap,16777216,2,1266527833,13246622.429339062,150
SccHashMap,16777216,3,888069333,18891786.23399216,158
SccHashMap,16777216,4,666968166,25154447.92607988,159
SccHashMap,16777216,5,618519500,27124797.1971781,184
SccHashMap,16777216,6,573983666,29229431.06886251,205
SccHashMap,16777216,7,544917875,30788522.03187499,227
SccHashMap,16777216,8,492151083,34089564.321856834,234
SccHashMap,16777216,9,494221750,33946737.47159044,265
SccHashMap,16777216,10,488541916,34341405.4158661,291
SccHashMap,16777216,11,489684791,34261256.03316931,321
