name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,955542250,35115592.22001957,28
DashMap,33554432,2,656160292,51137553.444029495,39
DashMap,33554432,4,433082167,77478212.11950295,51
DashMap,33554432,6,471983292,71092414.85607503,84
DashMap,33554432,8,421403333,79625454.69473067,100
DashMap,33554432,10,389010375,86255879.42223905,115
DashMap,33554432,12,375512458,89356374.96213241,134
PapayaMap,33554432,1,2319244958,14467825.782808062,69
PapayaMap,33554432,2,1188616750,28229815.876311686,70
PapayaMap,33554432,4,601045333,55826790.68901447,71
PapayaMap,33554432,6,424679792,79011134.11113285,75
PapayaMap,33554432,8,302836000,110800670.99023895,72
PapayaMap,33554432,10,300393584,111701560.17713082,89
PapayaMap,33554432,12,277956709,120718194.28542736,99
SccHashIndex,33554432,1,2035931500,16481120.312741369,60
SccHashIndex,33554432,2,1015161167,33053305.318169247,60
SccHashIndex,33554432,4,515156750,65134412.001783915,61
SccHashIndex,33554432,6,403129250,83234922.7946124,72
SccHashIndex,33554432,8,256769625,130679133.09450057,61
SccHashIndex,33554432,10,256557917,130786967.68496135,76
SccHashIndex,33554432,12,254874458,131650822.3825237,91
SccHashMap,33554432,1,2185415083,15353802.69909119,65
SccHashMap,33554432,2,1134500666,29576388.102358326,67
SccHashMap,33554432,4,591496000,56728079.310764566,70
SccHashMap,33554432,6,437443166,76705809.13818642,78
SccHashMap,33554432,8,313488167,107035721.06439348,74
SccHashMap,33554432,10,323575750,103698846.4061352,96
SccHashMap,33554432,12,297362958,112839985.9406833,106
