name,total_ops,threads,spent,throughput,latency
FxDashMap,16777216,1,533027083,31475353.7579628,31
FxDashMap,16777216,2,401973583,41737110.86880055,47
FxDashMap,16777216,3,333953291,50238211.307221405,59
FxDashMap,16777216,4,285419208,58780963.333063416,68
FxDashMap,16777216,5,322109333,52085469.99785318,95
FxDashMap,16777216,6,367849708,45608887.638426505,131
FxDashMap,16777216,7,391871000,42813109.41610887,163
FxDashMap,16777216,8,392157541,42781826.806691445,186
FxDashMap,16777216,9,392765416,42715614.24848057,210
FxDashMap,16777216,10,392823791,42709266.55763576,234
FxDashMap,16777216,11,397934250,42160774.04747141,260
FxFlurry,16777216,1,3250801666,5160947.275089774,193
FxFlurry,16777216,2,2807983916,5974826.246120136,334
FxFlurry,16777216,3,2364068416,7096755.697276741,422
FxFlurry,16777216,4,795404541,21092683.201063093,189
FxFlurry,16777216,5,803500041,20880168.194042444,239
FxFlurry,16777216,6,439886208,38139900.03523821,157
FxFlurry,16777216,7,1378438916,12171171.174334431,575
FxFlurry,16777216,8,361063541,46466103.87062038,172
FxFlurry,16777216,9,371975708,45102988.284385495,199
FxFlurry,16777216,10,384142041,43674511.533092,228
FxFlurry,16777216,11,388387750,43197078.17767167,254
FxSccHashIndex,16777216,1,1947438583,8615016.743765522,116
FxSccHashIndex,16777216,2,1028655625,16309847.136644976,122
FxSccHashIndex,16777216,3,674742458,24864621.754690293,120
FxSccHashIndex,16777216,4,549731541,30518925.600450493,131
FxSccHashIndex,16777216,5,481330333,34855929.1815918,143
FxSccHashIndex,16777216,6,454327166,36927609.12298165,162
FxSccHashIndex,16777216,7,373385291,44932718.037893996,155
FxSccHashIndex,16777216,8,359851916,46622555.707053676,171
FxSccHashIndex,16777216,9,357828958,46886132.67571263,191
FxSccHashIndex,16777216,10,358368333,46815565.03487154,213
FxSccHashIndex,16777216,11,361256250,46441316.932233006,236
FxSccHashMap,16777216,1,1994293583,8412610.933021288,118
FxSccHashMap,16777216,2,1047181875,16021300.979832182,124
FxSccHashMap,16777216,3,705132375,23793001.987747334,126
FxSccHashMap,16777216,4,577512916,29050806.545078207,137
FxSccHashMap,16777216,5,522548750,32106508.722870354,155
FxSccHashMap,16777216,6,462701208,36259287.22451056,165
FxSccHashMap,16777216,7,407235208,41197852.42144387,169
FxSccHashMap,16777216,8,391547791,42848450.13976851,186
FxSccHashMap,16777216,9,374330750,44819230.05256715,200
FxSccHashMap,16777216,10,386201625,43441598.672714025,230
FxSccHashMap,16777216,11,370135125,45327273.38428094,242
