name,total_ops,threads,spent,throughput,latency
DashMap,16777216,1,1667625750,10060540.26210617,99
DashMap,16777216,2,975126917,17205161.40772268,116
DashMap,16777216,3,801857584,20922937.357913673,143
DashMap,16777216,4,589619583,28454305.935086288,140
DashMap,16777216,5,641851083,26138798.304403577,191
DashMap,16777216,6,651208708,25763193.572036818,232
DashMap,16777216,7,646567458,25948129.297902275,269
DashMap,16777216,8,586133750,28623528.332910363,279
DashMap,16777216,9,597555333,28076422.50596398,320
DashMap,16777216,10,603400750,27804433.454880524,359
DashMap,16777216,11,615005917,27279763.55388464,403
SccHashIndex,16777216,1,1743450417,9622995.77688535,103
SccHashIndex,16777216,2,897623667,18690701.478574093,107
SccHashIndex,16777216,3,679091541,24705382.09811098,121
SccHashIndex,16777216,4,471337000,35594947.98838198,112
SccHashIndex,16777216,5,455809875,36807486.89352112,135
SccHashIndex,16777216,6,428935625,39113598.9229153,153
SccHashIndex,16777216,7,407573875,41163619.7241543,170
SccHashIndex,16777216,8,369179875,45444557.34484444,176
SccHashIndex,16777216,9,338861166,49510589.24232115,181
SccHashIndex,16777216,10,333240709,50345637.69338277,198
SccHashIndex,16777216,11,360730875,46508954.90994498,236
SccHashMap,16777216,1,2033767875,8249326.880532027,121
SccHashMap,16777216,2,1035209667,16206587.452588,123
SccHashMap,16777216,3,741533458,22625029.011165667,132
SccHashMap,16777216,4,550298208,30487498.879880056,131
SccHashMap,16777216,5,511087334,32826514.929833893,152
SccHashMap,16777216,6,468398292,35818268.9530388,167
SccHashMap,16777216,7,445934875,37622569.88758729,186
SccHashMap,16777216,8,387692958,43274492.49155565,184
SccHashMap,16777216,9,373038750,44974459.087695315,200
SccHashMap,16777216,10,374892208,44752106.45082279,223
SccHashMap,16777216,11,400160709,41926195.207735896,262
